                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.9069,                 0.8394,                0.99397,                0.72171,                0.54244,                0.60698,                0.47475,                0.71167,                0.61754,                0.88912,             0.00014144,             0.00014144,             0.00014144
                     84,                0.84192,                0.80994,                0.97602,                 0.7092,                0.54474,                0.60414,                0.47208,                0.71461,                0.62868,                0.89203,             0.00013437,             0.00013437,             0.00013437
                     85,                0.85216,                0.79859,                0.95572,                0.75031,                0.54979,                 0.6126,                 0.4788,                0.70502,                0.62611,                0.88783,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.8209,                0.75203,                 0.9723,                0.74298,                0.53626,                0.60462,                0.47254,                 0.7071,                0.65718,                0.88764,             0.00012024,             0.00012024,             0.00012024
                     87,                0.84901,                0.76676,                0.98508,                 0.7676,                0.53468,                 0.6129,                0.47983,                0.70311,                0.61877,                0.88626,             0.00011317,             0.00011317,             0.00011317
                     88,                0.85253,                0.77676,                0.96793,                 0.7919,                0.53587,                0.61738,                0.48274,                0.70244,                 0.6038,                0.88576,              0.0001061,              0.0001061,              0.0001061
                     89,                0.83611,                0.75381,                0.96633,                0.75279,                0.53814,                0.60837,                0.47874,                0.69911,                0.60902,                0.88387,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.83512,                0.76165,                0.96812,                 0.7723,                0.54112,                0.61598,                0.48299,                0.69671,                0.59523,                0.88258,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.77976,                0.77661,                0.92182,                0.78968,                0.51923,                0.59978,                0.46998,                  0.715,                0.65544,                 0.8919,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.77722,                0.71537,                0.91966,                0.76528,                0.53551,                0.60622,                0.47467,                0.70609,                0.63461,                0.88732,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.73931,                0.67199,                0.90383,                0.76342,                0.53694,                0.60934,                0.47734,                0.70002,                0.61162,                0.88411,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.81382,                0.71805,                0.92006,                 0.7744,                0.53843,                0.61335,                0.48059,                0.70271,                0.59378,                0.88495,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.74953,                0.68292,                0.90185,                0.77201,                0.53613,                0.61406,                0.48123,                0.70153,                0.59802,                0.88359,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.74683,                0.66944,                0.91087,                0.77414,                0.53551,                0.60942,                0.48003,                0.69813,                0.60849,                0.88324,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.73749,                0.66403,                0.89957,                0.76104,                0.54768,                0.61553,                0.48311,                0.69959,                0.59011,                0.88332,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.69593,                0.61121,                0.89095,                0.75956,                 0.5448,                0.61424,                 0.4824,                0.69501,                0.59491,                0.88236,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.71007,                0.65221,                0.89792,                0.77703,                0.54402,                0.61781,                0.48399,                0.69375,                0.59379,                0.88199,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.71912,                0.63318,                 0.8938,                0.78501,                 0.5353,                0.61658,                0.48453,                0.69232,                0.59427,                0.88174,             2.1277e-05,             2.1277e-05,             2.1277e-05
